No.,Name,Category,Years in Prod.,Colors
9875,Pocket Bag,Crossbody,"1989, 1990","Black, Bone, British Tan, Burgundy, Forest Green, Mahogany, Navy, Putty, Red, Tabac"
9880,Classic Satchel,Satchel,"1989, 1990","Black, British Tan, Burgundy, Mahogany, Navy, Putty, Red, Tabac"
9885,Club Satchel,Satchel,1989,"Black, British Tan, Forest Green, Mocha, Navy, Red, Tabac"
9886,Avenue Bag,Crossbody,1990,"Black, British Tan, Burgundy, Forest Green, Mahogany, Navy"
9887,Roll Bag,Crossbody,"1991, 1992","Black, British Tan, Burgundy, Forest Green, Mahogany, Navy, Putty, Tabac"
9888,Lindsay Bag,Crossbody,"1991, 1992, 1993, 1994","Black, Bone, Forest Green, Mahogany, Navy, Putty, Red, British Tan, Stone, Bottle Green, White"
9889,Buckle Bag,Tote,1991,"Black, British Tan, Forest Green, Mahogany, Navy"
9890,Scout Bag,Crossbody,"1991, 1992","Black, British Tan, Forest Green, Mahogany, Navy, Tabac"
9891,Broadway Satchel,Satchel,"1991, 1992, 1993","Black, British Tan, Burgundy, Forest Green, Mahogany, Stone"
9892,Chrystie Bag,Crossbody,"1991, 1992, 1993, 1994","Black, Bone, British Tan, Forest Green, Mahogany, Navy, Red, Bottle Green, White"
9893,Scooter Bag,Clutch/Pouch,"1991, 1996, 1997","Black, British Tan, Forest Green, Navy, Red, Blue, Bone, Bottle Green, White, Yellow, Mahogany"
9894,Chelsea Bag,Crossbody,"1991, 1992, 1993, 1995","Black, British Tan, Burgundy, Forest Green, Mahogany, Navy, Putty, Tabac, Camel, Stone, Jade"
9895,Brighton Bag,Crossbody,"1991, 1992, 1993","Black, British Tan, Burgundy, Forest Green, Mahogany, Navy, Putty, Tabac, Camel, Stone"
9896,Barclay Tote,Tote,"1991, 1992, 1993, 1994, 1997","Black, British Tan, Burgundy, Mahogany, Bordeaux, Blue, Red"
9897,Chauncey Bag,Satchel,1992,"Black, British Tan, Golden Tan, Navy, Sage"
9898,Fulton Bag,Crossbody,1992,"Black, British Tan, Golden Tan, Navy, Sage"
9899,Mulberry Bag,Crossbody,1992,"Black, British Tan, Burgundy, Forest Green, Navy, Golden Tan, Sage"
9900,Dover Bag,Tote,1992,"Black, British Tan, Golden Tan, Navy, Sage"
9901,Chester Bag,Crossbody,"1992, 1993, 1994","Black, Bone, British Tan, Burgundy, Camel, Forest Green, Mahogany, Navy, Red, Jade, Mango, Sapphire, White, Bordeaux, Bottle Green, Butterscotch"
9902,Oliver Bag,Crossbody,"1992, 1993","Black, British Tan, Burgundy, Camel, Forest Green, Mahogany, Navy, Stone, Bottle Green"
9903,Baxter Bag,Satchel,"1992, 1993, 1994","Black, British Tan, Burgundy, Camel, Navy, Stone, Bordeaux, Butterscotch"
9904,Derby Bag,Crossbody,1992,"Black, Bone, British Tan, Forest Green, Navy, Red"
9905,Crosby Bag,Crossbody,1992,"Black, British Tan, Camel, Forest Green, Navy"
9906,Post Pouch,Crossbody,"1992, 1993","Black, British Tan, Camel, Forest Green, Mahogany, Navy, Red, Stone"
9907,Logan Bag,Crossbody,"1992, 1993, 1994","Black, British Tan, Burgundy, Camel, Forest Green, Mahogany, Navy, Stone, Bordeaux, Bottle Green, Butterscotch"
9908,Devon Bag,Crossbody,"1992, 1993, 1994, 1995","Black, British Tan, Burgundy, Camel, Forest Green, Navy, Stone, Bone, Bordeaux, Bottle Green, Butterscotch"
9909,Austin Bag,Crossbody,1992,"Black, Bone, British Tan, Camel, Forest Green, Navy, Red, Stone"
9910,Sullivan Bag,Crossbody,1992,"Black, British Tan, Burgundy, Camel, Forest Green, Mahogany, Navy"
9911,Kimball Zip,Clutch/Pouch,"1992, 1993, 1994","Black, British Tan, Burgundy, Bone, Camel, Forest Green, Navy, Red, Stone, Jade, Mango, Sapphire, White, Bottle Green, Butterscotch, Purple"
9912,Jackson Bucket,Bucket,1992,"Black, British Tan, Burgundy, Forest Green, Navy"
9913,Gilford Bag,Crossbody,1992,"Black, British Tan, Burgundy, Forest Green, Navy"
9914,Ashland Bag,Crossbody,1992,"Black, British Tan, Burgundy, Forest Green, Navy"
9915,Branson Bag,Tote,1992,"Black, British Tan, Burgundy, Forest Green, Navy"
9916,Kent Bag,Crossbody,"1993, 1994","Black, Bone, British Tan, Camel, Forest Green, Mahogany, Navy, Red, Stone, Bordeaux, Bottle Green, Butterscotch"
9917,Shelton Bag,Crossbody,"1993, 1994","Black, Bone, British Tan, Camel, Forest Green, Mahogany, Navy, Stone, Bordeaux, Bottle Green, Butterscotch"
9918,Lenox Bag,Crossbody,"1993, 1994","Black, Bone, British Tan, Camel, Forest Green, Mahogany, Navy, Bordeaux, Bottle Green, Butterscotch"
9919,Quincey Bag,Crossbody,"1993, 1994, 1995","Black, Bone, British Tan, Forest Green, Navy, Red, White, Bottle Green"
9920,Becket Zip,Shoulder Bag,"1993, 1994, 1995","Black, Bone, British Tan, Jade, Mahogany, Mango, Navy, Red, Sapphire, Stone, White, Purple, Bottle Green"
9921,Megan Bag,Crossbody,"1993, 1994","Black, British Tan, Jade, Mango, Navy, Red, Sapphire, Stone, White, Butterscotch"
9922,Cooper Zip,Crossbody,"1993, 1994","Black, Bone, British Tan, Camel, Jade, Mahogany, Mango, Navy, Red, Sapphire, White, Butterscotch"
9923,Casey Bag,Crossbody,"1993, 1994, 1995, 1997","Black, British Tan, Jade, Mahogany, Mango, Navy, Red, Sapphire, Stone, White, Bottle Green, Butterscotch, Purple, Olive, Bone"
9924,Casino Bag,Crossbody,"1994, 1995, 1996, 1997","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, Lime, White"
9925,Carnival Bag,Crossbody,"1994, 1995, 1996, 1997","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, Aqua, White"
9927,Willis Bag,Crossbody,"1993, 1994, 1995, 1996, 1997, 1998, 1999","Black, Bottle Green, British Tan, Butterscotch, Mahogany, Navy, Red, Stone, Olive, Taupe, Bone, Blue, Loden, Dark Grey, Grey, Camel, Currant"
9928,Chadwick Satchel,Satchel,"1993, 1994","Black, British Tan, Butterscotch, Mahogany, Navy, Red, Stone"
9929,The Sling,Backpack,"1993, 1994, 1995","Black, Bottle Green, British Tan, Mahogany, Navy, Purple, Red, Olive"
9930,Murphy Bag,Clutch/Pouch,"1993, 1994, 1995, 1996, 1997","Black, Bottle Green, British Tan, Butterscotch, Mahogany, Navy, Red, Stone, Olive, Taupe, Bone"
9931,Lewiston Bag,Crossbody,"1993, 1994","Black, Bone, Bottle Green, British Tan, Mahogany, Navy, Red, Stone"
9934,Everett Bag,Clutch/Pouch,"1993, 1994","Black, Bottle Green, British Tan, Butterscotch, Mahogany, Navy, Purple, Red"
9935,Hadley Zip,Clutch/Pouch,"1993, 1994, 1995","Black, Bottle Green, British Tan, Butterscotch, Mahogany, Navy, Purple, Red, White"
9936,Bradley Bucket,Bucket,"1993, 1994","Black, Bone, Bottle Green, British Tan, Mahogany, Navy, Red, Stone"
9937,Ritchie Bag,Crossbody,"1993, 1994, 1995","Black, Bone, Bottle Green, British Tan, Butterscotch, Mahogany, Navy, Red, Stone, White, Taupe"
9938,Mitchell Zip,Crossbody,"1993, 1994, 1995","Black, Bone, Bottle Green, British Tan, Butterscotch, Mahogany, Navy, Red, Stone, White"
9939,Carson Zip,Crossbody,"1993, 1994","Black, Bone, Bordeaux, Bottle Green, British Tan, Mahogany, Navy, Stone"
9940,Dowel Field Bag,Messenger,1994,"Black, Bordeaux, British Tan, Mahogany"
9942,Carousel Bag,Crossbody,"1994, 1995","Black, British Tan, Navy, Red, White, Bottle Green"
9943,Classic Backpack,Backpack,"1994, 1995, 1996, 1997","Black, Bottle Green, British Tan, Mahogany, Navy, Taupe, Red"
9944,Taylor Zip,Crossbody,"1994, 1995, 1996","Black, Bone, Bordeaux, Bottle Green, British Tan, Butterscotch, Mahogany, Navy, Red, Stone, White, Olive, Taupe"
9945,Sterling Clutch,Clutch/Pouch,1994,"Black, Bone, Bordeaux, Bottle Green, British Tan, Butterscotch, Navy, Red, Stone, White"
9946,Nicholas Drawstring,Bucket,"1994, 1995","Black, Bone, Bottle Green, British Tan, Butterscotch, Navy, Red, Stone"
9947,Vista Bag,Crossbody,1994,"Black, Bone, Bottle Green, British Tan, Butterscotch, Mahogany, Navy, Red, Stone, White"
9948,Nottingham Bag,Crossbody,"1994, 1995","Black, Bone, Bottle Green, British Tan, Butterscotch, Navy, Olive"
9949,Faith's Legacy Bag,Crossbody,"1994, 1998","Black, British Tan, Mahogany, Olive, Red, Stone, Bone"
9950,Janice's Legacy Bag,Crossbody,"1994, 1995, 1996, 1997","Black, British Tan, Mahogany, Olive, Red, Navy, Taupe, Bottle Green"
9951,Patricia's Legacy Bag,Crossbody,"1994, 1995, 1996, 1997, 1998, 1999","Black, British Tan, Mahogany, Olive, Red, Navy, Bottle Green, Taupe, Blue, Loden"
9952,Lula's Legacy Bag,Bucket,"1994, 1995, 1996, 1997","Black, British Tan, Mahogany, Olive, Red, Navy, Taupe, Bottle Green"
9953,Helen's Legacy Bag,Bucket,"1994, 1996, 1997","Black, British Tan, Mahogany, Olive, Red, Navy, Bottle Green, Taupe, Periwinkle, Leaf, Blue, Glacier"
9954,Prairie Bag,Crossbody,"1994, 1995, 1996, 1997","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, Bone"
9955,Trail Bag,Crossbody,"1994, 1995","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe"
9957,Bellacourt Bag,Crossbody,"1994, 1995","Black, Bone, Bottle Green, British Tan, Mahogany, Navy, Red"
9958,Pelham Zip,Satchel,"1994, 1995","Black, Bone, Bottle Green, British Tan, Mahogany, Navy, Red"
9959,Petite Pelham Zip,Satchel,"1994, 1995","Black, Bone, Bottle Green, British Tan, Mahogany, Navy, Red"
9960,Daypack,Backpack,"1994, 1995, 1996, 1997, 1998, 1999","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, Blue, White, Yellow, Aqua, Bone, Lime, Periwinkle, Leaf, Glacier, Tangerine, Kiwi, Lavender, Loden, Dark Grey, Ink, Grey"
9961,Marshall Pack,Backpack,1994,"Acorn, Black, Mahogany"
9962,Mail Pouch,Crossbody,1994,"Acorn, Black, Mahogany"
9963,Bixby Bag,Bucket,1994,"Acorn, Black, Mahogany"
9964,Cody Bag,Crossbody,1994,"Acorn, Black, Mahogany"
9965,Legacy Small Flap,Crossbody,1997,"Aqua, Black, British Tan, Lime, Mahogany, Navy, Red, White, Blue, Bone, Glacier"
9966,Legacy Zip,Crossbody,"1997, 1998, 1999","Black, British Tan, Mahogany, Navy, Red, White, Blue, Loden"
9971,Men's Turnlock Clutch,Clutch/Pouch,1995,"Black, British Tan, Mahogany"
9972,Men's Zip Top Clutch,Clutch/Pouch,"1995, 1997","Black, British Tan, Mahogany"
9973,Kit Bag,Clutch/Pouch,"1995, 1996, 1997","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, Bone, Blue, Yellow, White"
9974,Multi Zip,Crossbody,"1995, 1996, 1997","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, Bone"
9975,Curtis Bag,Crossbody,"1995, 1996","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, Bone"
9976,Anderson Zip,Crossbody,"1995, 1996, 1997","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, Bone"
9977,Manor Bag,Crossbody,"1995, 1996, 1997","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, Bone, White"
9978,Small Sidepack,Crossbody,"1995, 1996, 1997","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe"
9979,Sidepack,Crossbody,"1995, 1996","Black, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe"
9980,Taft Bag,Crossbody,"1995, 1996, 1997","Black, British Tan, Mahogany, Navy, Red, Taupe, Bottle Green"
9981,Watson Bag,Crossbody,"1995, 1996, 1997","Black, Bone, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, Blue, White, Yellow"
9982,Canteen Bag,Crossbody,"1995, 1996","Black, Bone, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, White"
9983,Regina Bag,Crossbody,"1996, 1997","Black, Blue, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, White, Yellow, Bone, Aqua, Lime"
9984,Bixby Sling,Bucket,"1995, 1996, 1997","Black, Bone, Bottle Green, British Tan, Mahogany, Navy, Red, Taupe, Yellow, White, Blue"
9988,Saddle Bag,Shoulder Bag,1997,"Black, British Tan, Mahogany, Navy, Red"
9990,Small Framed Pouch,Shoulder Bag,1997,"Aqua, Black, British Tan, Lime, Mahogany, Navy, Red, White, Periwinkle, Blue"
9991,Lunch Box Zip,Crossbody,"1996, 1997","Black, British Tan, Mahogany, Navy, Red, Aqua, Lime, White, Periwinkle"
9992,Handle Backpack,Backpack,"1996, 1997","Black, British Tan, Mahogany, Navy, Red"
9993,Mini Shopper,Crossbody,"1996, 1997","Black, Bone, British Tan, Mahogany, Red, Aqua, Lime, White, Periwinkle"
9994,Drawstring Backpack,Backpack,"1996, 1997","Black, Bone, British Tan, Mahogany, Red, Aqua, Lime, White"
9995,Zip Top Shopper,Satchel,"1996, 1997","Black, Bone, British Tan, Mahogany, Red, Aqua, Lime"
9996,Medium Framed Pouch,Shoulder Bag,1997,"Aqua, Black, British Tan, Lime, Mahogany, Navy, Red, White, Periwinkle, Leaf, Blue"
9997,Legacy Small Zip,Crossbody,1998,"Black, British Tan, Loden, Mahogany, Red"
9998,Large Framed Pouch,Shoulder Bag,1997,"Black, British Tan, Lime, Mahogany, Navy, Red, White, Blue"
