No.,Name,Category,Years in Prod.,Colors
4414,Copley Bag,Satchel,"1994, 1995, 1996","Beechnut, Black, Garnet, Maple, Navy, Mandarin, Forest, Ivory, Citron, Granite, Butter"
4415,Tuxedo Bag,Clutch/Pouch,1995,"Beechnut, Black, Citron, Forest, Garnet, Granite, Ivory, Mandarin, Maple, Navy"
4416,Carnegie Clutch,Clutch/Pouch,1995,"Beechnut, Black, Citron, Forest, Garnet, Granite, Ivory, Mandarin, Maple, Navy"
4417,Biltmore Bag,Satchel,"1996, 1997","Beechnut, Black, Butter, Garnet, Granite, Navy, Caramel, Scarlet, Celadon"
4420,Drake Brief,Briefcase,"1995, 1996, 1997","Beechnut, Black, Forest, Maple, Navy, Caramel, Scarlet"
4477,Madison Clutch,Clutch/Pouch,"1994, 1995","Black, Cherry, Maple, Navy, Garnet, Beechnut"
4902,Schoolbag Natural Grain,Messenger,"1994, 1995","Black, Buff, Saddle"
4903,Flap Bag Natural Grain,Crossbody,"1994, 1995, 1996, 1997","Black, Buff, Saddle, Maize, Parchment, Sea, Wheat, Chocolate, Ivy, Tomato, Camel, Lime, White, Aqua"
4904,Medium Drawstring Natural Grain,Bucket,"1994, 1995",Black
4905,Small Drawstring Natural Grain,Bucket,"1994, 1995, 1996","Black, Buff, Saddle, Maize, Parchment, Sea, Wheat"
4906,Medium Bucket Zip Natural Grain,Bucket,"1994, 1995","Black, Buff, Saddle"
4907,Small Bucket Zip Natural Grain,Bucket,"1994, 1995, 1996, 1997","Black, Buff, Saddle, Maize, Parchment, Sea, Wheat, Chocolate, Ivy, Tomato, Camel, Aqua, Lime, White, Periwinkle, Navy, Marigold, Birch"
4908,Backpack Natural Grain,Backpack,"1994, 1995","Black, Buff, Saddle"
4909,Fishing Creel Natural Grain,Clutch/Pouch,1995,"Black, Buff, Saddle"
4911,Small Backpack Natural Grain,Backpack,"1994, 1995, 1996, 1997","Black, Buff, Saddle, Maize, Parchment, Sea, Wheat, Chocolate, Ivy, Tomato, Camel"
4913,Sonoma Pouch Natural Grain,Clutch/Pouch,1994,"Black, Buff, Saddle"
4914,Double Zip Natural Grain,Crossbody,"1995, 1996","Black, Buff, Saddle, Maize, Parchment, Sea, Wheat"
4915,Sonoma Tote Natural Grain,Tote,1995,"Black, Buff, Saddle"
4916,Soft Bucket Natural Grain,Bucket,1995,"Black, Buff, Saddle"
4917,Flat Pack Natural Grain,Backpack,"1995, 1996","Black, Buff, Saddle, Maize, Parchment, Sea, Wheat"
4918,Small Zip Natural Grain,Crossbody,"1995, 1996","Black, Buff, Saddle, Maize, Parchment, Sea, Wheat"
4919,Small Flap Bag Natural Grain,Crossbody,"1995, 1996, 1997","Black, Buff, Saddle, Maize, Parchment, Sea, Wheat, Chocolate, Ivy, Tomato, Camel, Aqua, Lime, White"
4920,Pocket Shopper Natural Grain,Tote,"1996, 1997","Black, Maize, Parchment, Saddle, Sea, Wheat, Chocolate, Ivy, Tomato, Camel, Lime"
4921,Satchel Natural Grain,Satchel,"1996, 1997","Black, Maize, Parchment, Saddle, Sea, Wheat, Camel, Chocolate, Ivy, Lime, Tomato, White"
4922,Sling Natural Grain,Backpack,"1996, 1997","Black, Chocolate, Ivy, Tomato, Camel, White"
4923,Drawstring Natural Grain,Bucket,"1996, 1997, 1998","Black, Chocolate, Ivy, Tomato, Camel, Lime, Aqua, Wheat, White, Periwinkle, Marigold, Navy, Birch"
4924,Pocket Zip Natural Grain,Crossbody,"1996, 1997","Black, Chocolate, Ivy, Tomato, Camel, Aqua, Lime, Wheat, White, Periwinkle, Navy, Marigold, Birch"
4925,Mini Backpack Natural Grain,Backpack,1997,"Aqua, Black, Camel, Chocolate, Lime, Tomato, Wheat, White, Periwinkle, Navy, Marigold"
4926,Pocket Drawstring Natural Grain,Bucket,1997,"Aqua, Black, Camel, Chocolate, Lime, Tomato, Wheat, White, Periwinkle, Navy"
4927,Sonoma Soft Bucket Natural Grain,Bucket,1997,"Black, Camel, Chocolate, Periwinkle, Tomato, Navy"
4928,Full Flap Natural Grain,Crossbody,1997,"Black, Camel, Chocolate, Periwinkle, Tomato, Navy"
4929,Small Full Flap Natural Grain,Crossbody,1997,"Black, Chocolate, Navy, Tomato, Marigold"
4930,Medium Drawstring Nubuc,Bucket,"1994, 1995","Sand, Spruce, Slate, Terracotta"
4931,Small Drawstring Nubuc,Bucket,"1994, 1995, 1996","Bramble, Chamois, Sage, Sand, Spruce, Slate, Terracotta, Dark Sage, Elderberry, Rose"
4932,Medium Bucket Zip Nubuc,Bucket,"1994, 1995","Bramble, Chamois, Sage, Sand, Spruce, Slate, Terracotta, Dark Sage, Elderberry"
4933,Small Bucket Zip Nubuc,Bucket,"1994, 1995, 1996, 1997","Bramble, Chamois, Sage, Sand, Spruce, Slate, Terracotta, Dark Sage, Elderberry, Rose, Grape, Pumpkin, Aqua, Lilac, Chocolate"
4934,Backpack Nubuc,Backpack,"1994, 1995","Bramble, Spruce, Slate, Terracotta"
4935,Flap Bag Nubuc,Crossbody,"1994, 1995, 1996, 1997","Bramble, Chamois, Sage, Sand, Spruce, Slate, Terracotta, Dark Sage, Elderberry, Rose, Pumpkin, Grape, Aqua, Lilac"
4937,Fishing Creel Nubuc,Clutch/Pouch,1995,"Bramble, Dark Sage, Elderberry, Sand"
4938,Small Backpack Nubuc,Backpack,"1994, 1995, 1996, 1997","Bramble, Chamois, Sage, Sand, Spruce, Slate, Terracotta, Elderberry, Dark Sage, Rose, Grape, Pumpkin"
4940,Sonoma Pouch Nubuc,Clutch/Pouch,1994,"Bramble, Chamois, Sage, Sand, Spruce"
4941,Double Zip Nubuc,Crossbody,1995,"Dark Sage, Bramble, Elderberry, Sand"
4942,Sonoma Tote Nubuc,Tote,1995,"Bramble, Dark Sage, Elderberry, Sand"
4943,Soft Bucket Nubuc,Bucket,1995,"Bramble, Dark Sage, Elderberry, Sand"
4944,Flat Pack Nubuc,Backpack,1995,"Bramble, Dark Sage, Elderberry, Sand"
4945,Small Zip Nubuc,Crossbody,"1995, 1996","Bramble, Dark Sage, Elderberry, Sand, Rose"
4946,Small Flap Bag Nubuc,Crossbody,"1995, 1996, 1997","Bramble, Dark Sage, Elderberry, Sand, Rose, Grape, Pumpkin"
4949,Pocket Zip Nubuc,Crossbody,"1996, 1997","Grape, Pumpkin, Sand, Aqua, Lilac, Chocolate, Spruce"
4950,Duffle Sac Nubuc,Bucket,1997,"Chocolate, Sand, Spruce, Glacier"
4951,Legacy Zip Nubuc,Crossbody,1997,"Chocolate, Sand, Spruce, Glacier"
4952,Helen's Legacy Nubuc,Bucket,1997,"Chocolate, Sand, Spruce, Glacier"
4954,Maggie Duffle Nubuc,Bucket,1997,"Chocolate, Sand, Spruce, Glacier"
4955,Mini Backpack Nubuc,Backpack,1997,"Aqua, Lilac, Sand, Chocolate, Spruce"
4956,Pocket Drawstring Nubuc,Bucket,1997,"Aqua, Lilac, Sand, Chocolate, Spruce"
4957,Sonoma Soft Bucket Nubuc,Bucket,1997,"Lilac, Sand, Chocolate, Spruce"
4958,Full Flap Nubuc,Crossbody,1997,"Lilac, Chocolate, Sand, Spruce"
4959,Small Full Flap Nubuc,Crossbody,1997,"Chocolate, Sand, Spruce"
5040,Portfolio,Briefcase,"1981, 1982, 1983, 1984, 1985, 1986, 1987","British Tan, Mocha, Saddle, Tabac, Black, Red, Burgundy"
5050,Handle Portfolio,Briefcase,"1976, 1977, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988","Black, British Tan, Mocha, Saddle, Tabac, Burgundy, Red"
5060,Attache,Briefcase,"1985, 1986, 1987","Black, British Tan, Mocha, Tabac"
5070,Skinny Portfolio,Briefcase,1985,"Black, British Tan, Burgundy, Mocha, Red, Tabac"
5080,Brief Bag,Briefcase,"1981, 1982, 1983, 1984, 1985","Black, British Tan, Mocha, Saddle, Tabac, Burgundy, Red"
5090,Embassy Briefcase,Briefcase,"1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994","Black, British Tan, Burgundy, Mocha, Tabac, Mahogany"
5092,Gramercy Brief,Briefcase,1991,"Black, British Tan, Burgundy, Mahogany"
5110,Small Clutch,Clutch/Pouch,"1983, 1984, 1985","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac"
5120,Shoulder Pouch Small,Crossbody,"1983, 1984, 1985, 1994","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac, Bone"
5130,Station Bag,Crossbody,"1983, 1984, 1985, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999","Black, British Tan, Burgundy, Mocha, Tabac, Navy, Putty, Red, Forest Green, Camel, Bottle Green, Butterscotch, Mahogany, Purple, Olive, Taupe, Bone, Blue"
5140,Standard Clutch,Clutch/Pouch,"1983, 1984, 1985","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac"
5160,Shoulder Portfolio,Briefcase,"1984, 1985, 1986","Black, British Tan, Burgundy, Mocha, Tabac"
5170,Diplomat Briefcase,Briefcase,"1986, 1987, 1988, 1989, 1990","Black, British Tan, Burgundy, Mocha, Tabac, Mahogany"
5180,Metropolitan Brief,Briefcase,"1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999","Black, British Tan, Burgundy, Mocha, Navy, Tabac, Mahogany, Bordeaux, Grey, Flannel Grey, Bottle Green"
5181,Colebrooke Case,Briefcase,"1994, 1995, 1996, 1997, 1998","Black, Bottle Green, British Tan, Mahogany, Red"
5190,Envelope Portfolio,Briefcase,"1986, 1987, 1988, 1989","Black, British Tan, Burgundy, Mocha, Navy, Putty, Red, Tabac, Mahogany, Grey, Flannel Grey"
5203,Associate Brief,Briefcase,1998,"Black, Mahogany"
5206,Full Flap Messenger Bag,Messenger,"1998, 1999","Black, Mahogany"
5213,Lenox Brief,Briefcase,"1998, 1999","Black, Mahogany"
5214,Fold-Over Brief,Briefcase,"1998, 1999","Black, Mahogany"
5230,Shoulder Brief,Briefcase,"1988, 1989, 1990","Black, British Tan, Burgundy, Mahogany, Mocha, Navy, Putty, Tabac"
5240,Wall Street Briefcase,Briefcase,"1988, 1989, 1990, 1991, 1992, 1993","Black, British Tan, Burgundy, Mocha, Mahogany"
5255,Regency Brief,Briefcase,1989,"Black, British Tan, Burgundy, Mahogany, Tabac"
5260,Executive Briefcase,Briefcase,"1989, 1990, 1991","Black, British Tan, Burgundy, Mahogany, Mocha"
5265,Lexington Brief,Briefcase,"1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999","Black, British Tan, Burgundy, Mahogany, Bordeaux, Red, Bottle Green"
5266,Beekman Brief,Briefcase,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999","Black, British Tan, Burgundy, Mahogany, Bordeaux"
